,,"23110000100040200001 Численность постоянного населения в среднем за год","23110000100040200001 Численность постоянного населения в среднем за год","23110000100040200001 Численность постоянного населения в среднем за год","23110000100040200001 Численность постоянного населения в среднем за год","23110000100040200001 Численность постоянного населения в среднем за год","23110000100040200001 Численность постоянного населения в среднем за год","23110000100040200001 Численность постоянного населения в среднем за год"
,,"2014 г.","2015 г.","2016 г.","2017 г.","2018 г.","2019 г.","2020 г."
"все население",w2:p_mest:11,,,,,,,
"Российская Федерация",643,"146090613","146405999","146674541","146842401","146830575","146764655","146459803"
"Центральный федеральный округ",030,"38885676","39027899","39156950","39260498","39344736","39405807","39342258"
"Белгородская область",14000000000,"1546022","1549037","1551500","1551370","1548647","1548284","1545205"
"Брянская область",15000000000,"1237769","1229340","1223135","1215756","1205584","1196339","1187587"
"Владимирская область",17000000000,"1409467","1401390","1393383","1383968","1372071","1362110","1350256"
"Воронежская область",20000000000,"2330053","2332312","2334443","2334588","2330795","2326013","2314906"
"Ивановская область",24000000000,"1040020","1033374","1026504","1018908","1009413","1000657","992082"
"Калужская область",29000000000,"1007515","1010129","1012171","1013363","1010768","1005978","1001777"
"Костромская область",34000000000,"655389","652920","649804","645740","640296","635325","630903"
"Курская область",38000000000,"1118147","1118698","1121456","1119065","1111139","1105524","1100248"
"Липецкая область",42000000000,"1158866","1156979","1156157","1153211","1147118","1141703","1133782"
"Московская область",46000000000,"7182344","7274857","7371058","7463427","7551516","7645255","7699681"
"Орловская область",54000000000,"767604","762475","757268","751031","743356","736483","729091"
"Рязанская область",61000000000,"1138141","1132771","1128421","1124107","1117805","1111492","1103552"
"Смоленская область",66000000000,"966343","961710","955915","951273","945856","938625","928007"
"Тамбовская область",68000000000,"1065677","1056358","1045311","1036939","1024759","1011357","1000584"
"Тверская область",28000000000,"1320160","1309907","1300771","1290336","1276754","1265007","1252999"
"Тульская область",70000000000,"1517533","1510008","1502930","1495636","1485337","1472472","1457621"
"Ярославская область",78000000000,"1271697","1271771","1271324","1268210","1262648","1256501","1247407"
"Город Москва столица Российской Федерации город федерального значения",45000000000,"12152926","12263861","12355395","12443566","12560873","12646679","12666565"
"Северо-Западный федеральный округ",031,"13822107","13848625","13876502","13925656","13962037","13977031","13961976"
"Республика Карелия",86000000000,"633468","631204","628478","624783","620269","616059","611566"
"Республика Коми",87000000000,"868239","860627","853692","845712","835553","825353","817031"
"Архангельская область",11000000000,"1187554","1178701","1169914","1160389","1149574","1140327","1131793"
"Ненецкий автономный округ (Архангельская область)",11100000000,"43198","43606","43888","43967","43913","43970","44250"
"Архангельская область (кроме Ненецкого автономного округа)",11001000000,"1144355","1135095","1126026","1116422","1105661","1096357","1087542"
"Вологодская область",19000000000,"1192190","1189347","1185773","1180274","1172201","1164079","1155744"
"Калининградская область",27000000000,"966036","972691","981350","990429","998392","1007349","1015568"
"Ленинградская область",41000000000,"1769732","1777198","1785386","1802866","1830841","1861869","1884292"
"Мурманская область",47000000000,"768669","764226","759896","755588","750806","744729","737134"
"Новгородская область",49000000000,"620566","617197","614106","609499","603386","598401","594460"
"Псковская область",58000000000,"653833","648741","644269","639355","633098","627882","623182"
"Город Санкт-Петербург город федерального значения",40000000000,"5161816","5208690","5253634","5316757","5367912","5390977","5391203"
"Южный федеральный округ (с 2010 года)",037,"13983851","14024204",,,,,
"Южный федеральный округ (с 29.07.2016)",040,,,"16398203","16435155","16448201","16460317","16474286"
"Республика Адыгея (Адыгея)",79000000000,"447787","450325","452422","453371","454060","458915","463128"
"Республика Калмыкия",85000000000,"281292","279649","278268","276607","274029","271891","270560"
"Республика Крым",35000000000,"1884473","1901511","1909637","1912950","1912775","1912220","1907100"
"Краснодарский край",03000000000,"5428801","5483566","5542374","5587182","5625827","5661848","5679704"
"Астраханская область",12000000000,"1018902","1019956","1018746","1018190","1015790","1009924","1001780"
"Волгоградская область",18000000000,"2563261","2551667","2540570","2528239","2514392","2499272","2482796"
"Ростовская область",60000000000,"4243806","4239040","4233678","4225903","4211386","4200071","4189653"
"Город федерального значения Севастополь",67000000000,"386473","407618","422507","432712","439941","446174","479564"
"Северо-Кавказский федеральный округ",038,"9624565","9688522","9746886","9799625","9845114","9898841","9949117"
"Республика Дагестан",82000000000,"2977144","3003015","3028780","3052892","3075006","3098492","3122080"
"Республика Ингушетия",26000000000,"458451","468334","476624","484259","492717","502226","511312"
"Кабардино-Балкарская Республика",83000000000,"859552","861482","863354","865140","866023","867284","868771"
"Карачаево-Черкесская Республика",91000000000,"469449","468428","467115","466368","465934","465546","465443"
"Республика Северная Осетия-Алания",90000000000,"704624","704507","703504","702512","700508","698044","694966"
"Чеченская Республика",96000000000,"1358353","1382220","1404518","1425923","1446966","1467838","1488359"
"Ставропольский край",07000000000,"2796990","2800535","2802990","2802528","2797958","2799408","2798184"
"Приволжский федеральный округ",033,"29727143","29694547","29655109","29589635","29469954","29342448","29179255"
"Республика Башкортостан",80000000000,"4070841","4071525","4069018","4065132","4057148","4044578","4025968"
"Республика Марий Эл",88000000000,"688060","686650","685275","683508","681356","679899","677375"
"Республика Мордовия",89000000000,"810521","808171","807997","806799","800280","792850","784581"
"Республика Татарстан (Татарстан)",92000000000,"3846633","3861883","3876991","3889768","3896456","3900758","3898504"
"Удмуртская Республика",94000000000,"1517261","1517318","1516995","1514935","1510216","1504172","1497155"
"Чувашская Республика - Чувашия",97000000000,"1239028","1237350","1236246","1233490","1227256","1220605","1212847"
"Пермский край",57000000000,"2636593","2635720","2633253","2627609","2616961","2605030","2589261"
"Кировская область",33000000000,"1307639","1300911","1294579","1287461","1277673","1267255","1256287"
"Нижегородская область",22000000000,"3275850","3265235","3253990","3241232","3224687","3208785","3189749"
"Оренбургская область",53000000000,"2004838","1997936","1992174","1983654","1970364","1959921","1949874"
"Пензенская область",56000000000,"1358102","1352161","1345115","1336591","1324878","1311833","1298230"
"Самарская область",36000000000,"3211931","3209325","3204827","3198596","3188276","3181285","3166848"
"Саратовская область",63000000000,"2494788","2490277","2483394","2471105","2451882","2431355","2408503"
"Ульяновская область",73000000000,"1265055","1260085","1255254","1249752","1242516","1234120","1224071"
"Уральский федеральный округ",034,"12255039","12291978","12326953","12351016","12353176","12355437","12345126"
"Курганская область",37000000000,"873481","865855","858001","849823","840118","830933","822867"
"Свердловская область",65000000000,"4324074","4328739","4329674","4327299","4320477","4313190","4300374"
"Тюменская область",71000000000,"3563819","3598389","3637758","3676215","3708185","3740252","3767295"
"Ханты-Мансийский автономный округ - Югра (Тюменская область)",71100000000,"1604662","1619414","1636416","1650576","1659435","1669236","1681165"
"Ямало-Ненецкий автономный округ (Тюменская область)",71140000000,"539828","537045","535077","537297","540013","542961","545727"
"Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа)",71001000000,"1419329","1441929","1466265","1488340","1508737","1528055","1540403"
"Челябинская область",75000000000,"3493663","3498995","3501519","3497679","3484395","3471061","3454589"
"Сибирский федеральный округ",035,"19302454","19318099","19325113","19306835","17201745",,
"Сибирский федеральный округ",041,,,,,,"17145861","17061157"
"Республика Алтай",84000000000,"212674","214431","216084","217535","218464","219524","220567"
"Республика Тыва",93000000000,"312768","314706","317093","320135","323073","325902","328874"
"Республика Хакасия",95000000000,"534938","536289","537225","537591","536840","535215","533149"
"Алтайский край",01000000000,"2387725","2380793","2371227","2357880","2341447","2324983","2306753"
"Красноярский край",04000000000,"2855791","2862631","2870895","2875898","2875261","2870140","2861077"
"Иркутская область",25000000000,"2416629","2413856","2410850","2406548","2400979","2394478","2383107"
"Кемеровская область - Кузбасс",32000000000,"2729533","2721309","2713235","2701860","2684566","2666055","2645650"
"Новосибирская область",50000000000,"2738998","2754529","2770896","2784202","2791116","2795777","2792003"
"Омская область",52000000000,"1976029","1978324","1975574","1966382","1952137","1935430","1915170"
"Томская область",69000000000,"1072290","1075608","1077826","1078585","1077861","1078355","1074804"
"Дальневосточный федеральный округ",036,"6218831","6202995","6188824","6173982","8205612",,
"Дальневосточный федеральный округ",042,,,,,,"8178913","8146628"
"Республика Бурятия",81000000000,"976177","980389","983209","984322","983891","984604","985683"
"Забайкальский край",76000000000,"1088898","1085231","1080998","1075894","1069296","1062742","1056592"
"Республика Саха (Якутия)",98000000000,"955849","958291","961262","963582","965669","969502","976982"
"Камчатский край",30000000000,"318566","316692","315422","315142","315139","313868","312341"
"Приморский край",05000000000,"1935911","1931158","1926062","1918076","1907877","1899293","1886855"
"Хабаровский край",08000000000,"1339108","1336427","1333923","1330798","1324887","1318557","1308385"
"Амурская область",10000000000,"810572","807781","803720","800088","795809","791619","785944"
"Магаданская область",44000000000,"149191","147208","145958","144830","142663","140691","139592"
"Сахалинская область",64000000000,"489708","487842","487317","488763","489910","488947","486939"
"Еврейская автономная область",99000000000,"169372","167243","165169","163115","160964","159109","157402"
"Чукотский автономный округ",77000000000,"50548","50349","49990","49585","49504","49975","49908"
"Крымский федеральный округ",039,"2270947","2309129",,,,,
